"Published on","Unique ID","Target","Indicator","Indicator Code","Question Number","Question","Response"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.3","Do your country’s other policies address the impacts of climate change on biodiversity? ","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.4","Do your country’s other policies address the impacts of ocean acidification on biodiversity? ","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.5","Are the impacts of climate change on biodiversity monitored and reported on?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.6","Are the impact of ocean acidification on biodiversity monitored and reported on?","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.7","Do your country’s policies or action plans on the impact of climate change and ocean acidification contain the following types of actions designed to increase biodiversity resilience or reduce impacts (select all that apply):","mitigation; adaptation; disasterRiskReduction"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.8","Are measures included in your country’s policies or actions plans to minimize the negative impacts of climate actions on biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.9","Are measures included in your country’s policies or actions plans to foster positive impacts of climate actions on biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT08. By 2030, reduce ecosystem degradation by supporting the development of sustainable, highly productive forestry and agriculture, while introducing nature-based practices.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT08. By 2030, reduce ecosystem degradation by supporting the development of sustainable, highly productive forestry and agriculture, while introducing nature-based practices.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT08. By 2030, reduce ecosystem degradation by supporting the development of sustainable, highly productive forestry and agriculture, while introducing nature-based practices.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT08. By 2030, reduce ecosystem degradation by supporting the development of sustainable, highly productive forestry and agriculture, while introducing nature-based practices.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT08. By 2030, reduce ecosystem degradation by supporting the development of sustainable, highly productive forestry and agriculture, while introducing nature-based practices.","5.b Number of countries with legal instruments or other policy frameworks for regulating trade in wild species","5.b","5.1","Does your country have legal instruments or other policy frameworks to regulate trade in wild species? (Select all that apply)","terrestrialSpecies; internationalTrade"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.b Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces","12.b","12.1","Does your country have urban areas under biodiversity-inclusive urban planning that incorporates the management of green or blue spaces for the conservation and sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","12.b Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces","12.b","12.2","Does your country have urban areas under biodiversity-inclusive urban planning incorporating the management of green or blue spaces for ecosystem services and nature’s contributions to people?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","9.b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities","9.b","9.1","Does your country have legal instruments or other policy frameworks or administrative measures for the sustainable management and use of wild species? ","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","9.b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities","9.b","9.2","Does your country monitor the sustainable management and use of wild species?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","9.b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities","9.b","9.3","Does your country monitor the social, economic and environmental benefits derived from the use of wild species for people, in particular those in vulnerable situations and most dependent on biodiversity? (Select all that apply)","underDevelopment"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT09. By 2030, increase the benefits of nature to people through ecosystem services derived from nature-based solutions.","9.b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities","9.b","9.4","Does your country have legal instruments or other policy frameworks to protect and encourage the customary sustainable use of biodiversity by indigenous peoples and local communities, for example, the plan of action on customary sustainable use of biological diversity or other relevant initiatives?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","12.b Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces","12.b","12.1","Does your country have urban areas under biodiversity-inclusive urban planning that incorporates the management of green or blue spaces for the conservation and sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT10. By 2030, increase the area of urban green and blue infrastructure.","12.b Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces","12.b","12.2","Does your country have urban areas under biodiversity-inclusive urban planning incorporating the management of green or blue spaces for ecosystem services and nature’s contributions to people?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.1","Does your country have effective legal, administrative and policy measures to ensure the fair and equitable sharing of benefits that arise from the utilization of genetic resources?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.2","Does your country have capacity-building measures to ensure the fair and equitable sharing of benefits that arise from the utilization of genetic resources?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.3","Has your country taken administrative, policy or legislative measures pursuant to the operationalization of the multilateral mechanism in decision 16/2?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.4","Do the measures mentioned in questions 13.1 and 13.2 include the utilization of traditional knowledge associated with genetic resources?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.5","Does your country monitor the monetary benefits received from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed from your country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.6","Does your country monitor the non-monetary benefits received from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed from your country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.7","Does your country have measures to ensure the fair and equitable benefit-sharing arising from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed in another country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.1","Does your country have effective legal, administrative and policy measures to ensure the fair and equitable sharing of benefits that arise from the utilization of genetic resources?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.2","Does your country have capacity-building measures to ensure the fair and equitable sharing of benefits that arise from the utilization of genetic resources?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.3","Has your country taken administrative, policy or legislative measures pursuant to the operationalization of the multilateral mechanism in decision 16/2?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.4","Do the measures mentioned in questions 13.1 and 13.2 include the utilization of traditional knowledge associated with genetic resources?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.5","Does your country monitor the monetary benefits received from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed from your country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.6","Does your country monitor the non-monetary benefits received from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed from your country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT11. By 2030, develop a comprehensive database for genetic resources and traditional knowledge, while strengthening legal and governance frameworks to ensure the fair and equitable sharing of benefits.","13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources","13.b","13.7","Does your country have measures to ensure the fair and equitable benefit-sharing arising from the utilization of genetic resources and/or traditional knowledge associated with genetic resources that were accessed in another country?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework","14.b","14.1","Does your country integrate biodiversity and its multiple values into policies, regulations, planning, development processes and poverty eradication strategies at all levels of government?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework","14.b","14.2","Does your country use environmental economic accounting to quantify the monetary and non-monetary values of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework","14.b","14.3","Does your country integrate biodiversity and its multiple values into policies, regulations, plans and strategies across all sectors to ensure their mainstreaming?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework","14.b","14.4","Does your country have policies, regulations, strategies or plans in place to progressively align all relevant public and private activities with the goals and targets of the Framework?","Under development"
